"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","666","test_create_issue_ddt[\u041d\u0435\u0433\u0430\u0442\u0438\u0432\u043d\u044b\u0439: \u041f\u0443\u0441\u0442\u043e\u0439 summary]","tests","2026-06-22","passed","2026-06-22","","test_issues","",""
"","2821","test_create_issue_ddt[\u041f\u043e\u0437\u0438\u0442\u0438\u0432\u043d\u044b\u0439: \u0421\u043e\u0437\u0434\u0430\u043d\u0438\u0435 Bug]","tests","2026-06-22","passed","2026-06-22","","test_issues","",""
"","3267","test_create_issue_ddt[\u041f\u043e\u0437\u0438\u0442\u0438\u0432\u043d\u044b\u0439: \u0421\u043e\u0437\u0434\u0430\u043d\u0438\u0435 Task]","tests","2026-06-22","passed","2026-06-22","","test_issues","",""
